analyze_and_understand_data_to_influence_product_or_business_decisions,build_the_data_infrastructure_that_my_business_uses_for_storing_analyzing_and_operationalizing_data,build_prototypes_to_explore_applying_machine_learning_to_new_areas,build_a_machine_learning_service_that_operationally_improves_my_product_or_workflows,experimentation_and_iteration_to_improve_existing_ml_models,do_research_that_advances_the_state_of_the_art_of_machine_learning,none_of_these_activities_are_an_important_part_of_my_role_at_work,what_is_the_primary_tool_that_you_use_at_work_or_school_to_analyze_data,highest_level_of_formal_education,job_title,yearly_compensation,does_your_current_employer_incorporate_machine_learning_methods_into_their_business
NA,NA,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Professional degree,Software Engineer,"20,000-24,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,I prefer not to answer,Data Scientist,NA,We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,Other,Master’s degree,Software Engineer,"3,000-3,999",I do not know
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Analyst,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Data Analyst,NA,We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,NA,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Data Analyst,"7,500-9,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,NA,Master’s degree,Data Scientist,"150,000-199,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,NA,NA,Other,Master’s degree,Data Scientist,"40,000-49,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Analyst,NA,NA
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,NA,Bachelor’s degree,Data Scientist,"3,000-3,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Software Engineer,"30,000-39,999",No (we do not use ML methods)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"50,000-59,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Data Scientist,"10,000-14,999",We use ML methods for generating insights (but do not put working models into production)
NA,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"40,000-49,999","We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Product/Project Manager,"125,000-149,999",No (we do not use ML methods)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"30,000-39,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,Other,Doctoral degree,Research Scientist,"15,000-19,999",We use ML methods for generating insights (but do not put working models into production)
NA,NA,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,NA,Do research that advances the state of the art of machine learning,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"30,000-39,999",We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Data Engineer,NA,"We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Business Analyst,NA,We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Bachelor’s degree,Data Analyst,"15,000-19,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Analyst,NA,NA
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,NA,NA,NA,Doctoral degree,Research Scientist,"125,000-149,999",We use ML methods for generating insights (but do not put working models into production)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Software Engineer,"2,000-2,999","We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Product/Project Manager,NA,NA
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"5,000-7,499","We recently started using ML methods (i.e., models in production for less than 2 years)"
